Institution,World Ranking,Year
Harvard University,1,2012
Massachusetts Institute of Technology,2,2012
Stanford University,3,2012
University of Cambridge,4,2012
California Institute of Technology,5,2012
Harvard University,1,2013
Stanford University,2,2013
University of Oxford,3,2013
Massachusetts Institute of Technology,4,2013
University of Cambridge,5,2013
Harvard University,1,2018
Stanford University,2,2018
Massachusetts Institute of Technology,3,2018
University of Cambridge,4,2018
University of Oxford,5,2018
Harvard University,1,2019
Massachusetts Institute of Technology,2,2019
Stanford University,3,2019
University of Cambridge,4,2019
University of Oxford,5,2019